,Issue_Time,Color,Make,Route,Fine_Amount,Binned
149410,1041.0,GY,BMW,00495,63.0,4
4470008,156.0,SI,TOYO,00403,25.0,1
3940756,715.0,BK,HYUN,00500,25.0,1
4168751,2205.0,SL,HOND,00600,68.0,4
5043602,1329.0,SL,LEXS,360R1,58.0,3
5719915,1747.0,WT,FORD,00500,68.0,4
4682399,1801.0,RD,CHEV,402A,68.0,4
1190072,1238.0,SL,KIA,00151,73.0,5
5851274,1734.0,BK,NISS,403A,68.0,4
1518783,1850.0,WT,HOND,00478,63.0,4
2964924,1135.0,BK,KIA,00656,93.0,6
2423557,2303.0,OT,HOND,00600,93.0,6
2489416,1614.0,BL,HOND,00907,68.0,4
5428433,1027.0,GN,HOND,00456,63.0,4
285149,830.0,WT,UNK,00474,73.0,5
2476439,841.0,BK,BMW,00555,73.0,5
4174432,1345.0,GY,HOND,6T8,363.0,8
1693692,135.0,GY,CHEV,5M39,58.0,3
5081703,834.0,BK,NISS,00159,73.0,5
3050612,1055.0,WT,KIA,535H,73.0,5
446337,1723.0,GY,HYUN,00401,25.0,1
5426384,1034.0,BK,MERZ,310W,93.0,6
6461988,1021.0,BN,GMC,00636,73.0,5
1706337,932.0,GN,MAZD,00441,25.0,1
2465659,806.0,GY,VOLK,00675,63.0,4
4442136,811.0,GY,MERZ,00303,63.0,4
4100274,1236.0,BL,CHEV,00651,68.0,4
2682202,835.0,BL,HOND,00600,63.0,4
6262734,226.0,GY,VOLK,00501,73.0,5
153681,1041.0,WT,TOYT,00387,73.0,5
817267,1028.0,BK,TOYT,00908,73.0,5
198808,1236.0,BL,CHRY,00600,73.0,5
4633076,1018.0,GY,BMW,138B,73.0,5
398999,118.0,WT,TOYT,00500,93.0,6
1839365,33.0,GY,CHEV,00400,68.0,4
2725127,1020.0,GY,TOYT,00400,73.0,5
624362,1228.0,BK,MAZD,00600,68.0,4
1169430,805.0,SL,NISS,00667,63.0,4
4428552,855.0,WT,FORD,00376,73.0,5
2054648,1549.0,GY,TOYT,00600,63.0,4
3400699,1708.0,BL,TOYT,549A,163.0,7
5615840,2207.0,OT,TOYT,00600,93.0,6
4485326,1208.0,SL,VOLK,00644,73.0,5
4486903,1005.0,WT,CHEV,00485,73.0,5
1493073,951.0,BK,CHEV,00686,25.0,1
3579128,1920.0,GY,HOND,00309,68.0,4
4547955,1246.0,GY,HOND,378R1,58.0,3
5488382,1218.0,OR,DODG,00421,73.0,5
2630630,1313.0,WT,MAZD,00484,63.0,4
73566,1740.0,GY,NISS,00603,63.0,4
859351,1106.0,GO,TOYT,00443,73.0,5
3947097,1606.0,WT,TOYT,00104,163.0,7
6147791,1734.0,BK,HYUN,00204,93.0,6
6395632,859.0,SL,NISS,00135,73.0,5
3168746,2054.0,GN,HOND,00402,68.0,4
3634136,820.0,GY,JEEP,00338,73.0,5
6504254,858.0,RD,HOND,139B,73.0,5
4498131,1209.0,GY,FORD,00371,73.0,5
1647090,1133.0,WT,TOYT,00421,63.0,4
4231337,1030.0,RD,ACUR,00356,73.0,5
1737921,1541.0,GY,TOYT,00107,63.0,4
5551807,1103.0,BL,NISS,00410,68.0,4
4205721,1250.0,WT,JEEP,00396,58.0,3
2498499,1138.0,BL,TOYT,00500,73.0,5
6264758,1502.0,GY,JEEP,00405,68.0,4
3332954,1407.0,WT,MERZ,369B,363.0,8
3266205,1049.0,GY,CHEV,00483,73.0,5
5882049,134.0,SL,HOND,402A,58.0,3
1901022,1910.0,GY,LEXS,00111,58.0,3
4321471,1019.0,WT,BMW,00187,25.0,1
6268428,1655.0,BK,CHEV,00600,25.0,1
3384595,153.0,WT,TOYT,00309,93.0,6
3887397,1012.0,BK,FORD,00308,93.0,6
